,highly_variable
UQCRH,False
NSUN4,False
FAAH,False
MKNK1,False
MOB3C,False
ATPAF1,False
EFCAB14,False
CMPK1,False
SPATA6,False
BEND5,False
FAF1,False
CDKN2C,False
RNF11,False
EPS15,False
OSBPL9,False
NRD1,False
TXNDC12,False
KTI12,False
BTF3L4,False
ZFYVE9,False
CC2D1B,False
PRPF38A,False
ZCCHC11,False
GPX7,False
FAM159A,False
COA7,False
ZYG11B,False
ECHDC2,False
SCP2,False
SLC1A7,True
CPT2,False
C1orf123,False
RP5-1024G6.7,False
MAGOH,False
RP11-117D22.2,True
NDC1,False
YIPF1,False
HSPB11,False
LRRC42,False
TMEM59,False
TCEANC2,False
MRPL37,False
SSBP3,False
TTC4,False
PARS2,True
TTC22,False
USP24,False
OMA1,False
MYSM1,False
JUN,True
LINC01135,False
FGGY,False
HOOK1,False
NFIA,False
TM2D1,False
INADL,True
USP1,False
ATG4C,False
ALG6,False
ITGB3BP,False
EFCAB7,True
PGM1,False
JAK1,False
LEPROT,False
PDE4B,False
MIER1,False
SLC35D1,False
SERBP1,False
GADD45A,True
LRRC40,False
SRSF11,False
ANKRD13C,False
HHLA3,False
ZRANB2,False
LRRIQ3,False
FPGT,False
CRYZ,False
TYW3,False
ACADM,False
RABGGTB,False
PIGK,False
AK5,False
ZZZ3,False
USP33,False
FAM73A,False
FUBP1,False
DNAJB4,False
RP11-386I14.4,False
IFI44L,True
IFI44,False
RP5-887A10.1,True
RP11-486G15.2,False
PRKACB,False
RPF1,False
GNG5,False
CTBS,False
SSX2IP,False
MCOLN2,False
SYDE2,False
C1orf52,False
BCL10,False
ZNHIT6,True
ODF2L,False
RP4-612B15.3,False
SH3GLB1,False
SEP15,False
HS2ST1,False
LMO4,False
PKN2,True
GTF2B,False
CCBL2,False
RBMXL1,False
GBP3,False
GBP1,False
GBP2,False
GBP7,False
GBP4,False
GBP5,False
LRRC8B,False
RP5-1007M22.2,False
LRRC8C,False
RP5-943J3.2,False
LRRC8D,False
ZNF326,False
ZNF644,False
CDC7,False
TGFBR3,True
EPHX4,False
GLMN,False
RPAP2,False
GFI1,True
EVI5,False
RPL5,False
FAM69A,False
MTF2,False
TMED5,False
CCDC18,False
DR1,False
DNTTIP2,False
GCLM,False
ABCD3,False
CNN3,False
ALG14,False
RWDD3,False
PTBP2,False
DPYD,False
AGL,False
SLC35A3,False
HIAT1,True
SASS6,True
TRMT13,False
DBT,False
RTCA,False
CDC14A,False
EXTL2,False
SLC30A7,False
DPH5,False
RP11-421L21.3,False
RP4-575N6.4,False
S1PR1,False
RNPC3,False
AMY2B,False
PRMT6,False
VAV3,False
SLC25A24,False
RP11-483I13.5,False
HENMT1,True
PRPF38B,False
STXBP3,False
CLCC1,False
WDR47,False
TAF13,True
RP5-1065J22.8,False
TMEM167B,False
KIAA1324,False
SARS,False
SORT1,False
PSMA5,False
ATXN7L2,False
CYB561D1,False
AMIGO1,False
GNAI3,False
AMPD2,False
GSTM4,False
GSTM2,False
GSTM1,False
GSTM3,False
CSF1,False
AHCYL1,False
STRIP1,False
RBM15,False
LAMTOR5,False
RP11-284N8.3,False
KCNA3,False
CD53,False
LRIF1,True
DRAM2,False
CEPT1,False
RP5-1180E21.5,False
DENND2D,False
CHI3L2,True
WDR77,False
ATP5F1,False
C1orf162,False
RAP1A,False
DDX20,False
ST7L,False
CAPZA1,False
MOV10,False
RHOC,True
SLC16A1,True
SLC16A1-AS1,False
LRIG2,False
PHTF1,False
RSBN1,False
PTPN22,True
AP4B1,False
DCLRE1B,False
RP5-1073O3.7,False
HIPK1,True
TRIM33,False
BCAS2,False
NRAS,False
CSDE1,False
SIKE1,False
TSPAN2,True
ATP1A1,False
CD58,False
CD2,False
CD101,False
TTF2,False
MAN1A2,False
FAM46C,False
GDAP2,False
WDR3,False
WARS2,True
RP11-418J17.1,False
PHGDH,False
REG4,False
NOTCH2,False
RP11-343N15.5,False
RP11-344P13.6,False
RP11-782C8.1,False
AL592284.1,False
RP11-640M9.1,False
NBPF9,False
PDE4DIP,False
RP11-326G21.1,False
NOTCH2NL,False
NBPF10,False
TXNIP,False
POLR3GL,False
LIX1L,False
RBM8A,False
PEX11B,False
ANKRD35,False
PIAS3,False
NUDT17,False
POLR3C,False
RNF115,False
CD160,True
GPR89A,False
NBPF12,False
PRKAB2,False
RP11-337C18.8,False
CHD1L,False
BCL9,False
ACP6,False
RP11-89F3.2,False
NBPF15,False
RP11-403I13.4,False
RP11-403I13.8,False
RP11-277L2.3,False
RP11-353N4.4,False
FCGR1A,False
HIST2H2BF,False
RP11-196G18.24,True
HIST2H2BE,False
HIST2H2AC,False
HIST2H2AB,False
BOLA1,False
SF3B4,False
MTMR11,False
OTUD7B,False
VPS45,False
PLEKHO1,False
ANP32E,False
APH1A,False
C1orf54,False
MRPS21,False
PRPF3,False
RPRD2,False
TARS2,False
ADAMTSL4,False
MCL1,False
ENSA,False
GOLPH3L,False
CTSS,True
ARNT,True
SETDB1,False
CERS2,False
FAM63A,False
PRUNE,False
C1orf56,True
CDC42SE1,False
MLLT11,False
GABPB2,False
TNFAIP8L2,False
SCNM1,False
VPS72,False
PIP5K1A,False
PSMD4,False
RP11-126K1.2,False
ZNF687,False
PI4KB,False
RFX5,False
RP11-126K1.6,False
PSMB4,False
POGZ,False
SNX27,False
MRPL9,False
TDRKH,False
RP11-98D18.9,False
RORC,False
C2CD4D,False
THEM4,False
S100A10,False
S100A11,True
S100A9,True
S100A12,True
S100A8,True
S100A6,True
S100A5,False
S100A4,False
S100A13,False
CHTOP,False
SNAPIN,False
ILF2,False
INTS3,False
SLC27A3,False
GATAD2B,False
DENND4B,False
CRTC2,False
SLC39A1,False
CREB3L4,False
JTB,False
RP11-422P24.11,False
RAB13,False
RPS27,False
TPM3,False
C1orf43,False
UBAP2L,False
HAX1,False
ATP8B2,False
RP11-350G8.5,False
IL6R,False
UBE2Q1,False
ADAR,False
PMVK,False
PBXIP1,False
PYGO2,False
RP11-307C12.12,False
SHC1,False
CKS1B,False
FLAD1,False
ZBTB7B,False
ADAM15,True
EFNA4,False
EFNA3,False
EFNA1,False
SLC50A1,False
DPM3,False
KRTCAP2,False
TRIM46,False
MTX1,False
GBA,False
FAM189B,False
SCAMP3,False
CLK2,False
FDPS,False
RUSC1,False
ASH1L,False
MSTO1,False
YY1AP1,False
DAP3,False
GON4L,False
SYT11,True
RIT1,False
KIAA0907,False
ARHGEF2,False
SSR2,False
UBQLN4,False
LAMTOR2,False
RAB25,False
LMNA,True
SEMA4A,False
SLC25A44,False
PMF1,False
PAQR6,False
SMG5,False
TMEM79,False
C1orf85,False
CCT3,False
C1orf61,False
MEF2D,False
APOA1BP,False
GPATCH4,False
ISG20L2,False
RRNAD1,False
MRPL24,False
HDGF,False
PRCC,False
SH2D2A,True
ETV3,False
FCRL5,False
FCRL3,True
FCRL2,False
FCRL1,True
CD1D,False
CD1C,True
CD1E,False
MNDA,False
PYHIN1,True
IFI16,False
AIM2,False
FCER1A,True
DUSP23,False
FCRL6,True
SLAMF8,False
TAGLN2,False
PIGM,False
IGSF8,False
PEA15,False
DCAF8,False
PEX19,False
COPA,False
NCSTN,False
SLAMF6,False
CD84,False
SLAMF1,False
CD48,False
SLAMF7,True
LY9,False
CD244,True
ITLN1,False
F11R,False
TSTD1,False
USF1,False
ARHGAP30,False
PFDN2,False
NIT1,False
DEDD,False
UFC1,False
USP21,False
PPOX,False
B4GALT3,False
NDUFS2,False
FCER1G,True
TOMM40L,False
MPZ,False
SDHC,False
FCGR2A,False
HSPA6,False
FCGR3A,True
FCGR2B,True
FCRLA,True
FCRLB,False
DUSP12,False
ATF6,True
SH2D1B,True
UHMK1,False
RP11-359K18.3,False
UAP1,False
HSD17B7,False
NUF2,False
MGST3,False
ALDH9A1,False
TMCO1,False
UCK2,False
POGK,False
TADA1,False
GPA33,False
POU2F1,False
CD247,True
RP11-104L21.3,False
CREG1,False
RCSD1,False
MPZL1,False
MPC2,False
DCAF6,False
TIPRL,False
SFT2D2,False
XCL2,True
XCL1,True
ATP1B1,False
NME7,False
BLZF1,False
F5,False
C1orf112,False
SELL,False
METTL18,False
SCYL3,False
KIFAP3,False
GORAB,False
FMO4,False
PRRC2C,False
VAMP4,False
METTL13,False
PIGC,False
SUCO,False
FASLG,True
RP11-296O14.3,False
PRDX6,False
KLHL20,False
CENPL,False
DARS2,False
ZBTB37,False
RC3H1,False
RP11-160H22.5,False
RABGAP1L,True
CACYBP,False
MRPS14,False
KIAA0040,True
RFWD2,False
RALGPS2,True
FAM20B,True
TOR3A,False
ABL2,False
SOAT1,False
TOR1AIP2,False
RP11-533E19.7,True
TOR1AIP1,False
RP11-533E19.5,False
CEP350,False
QSOX1,False
ACBD6,False
XPR1,False
STX6,False
MR1,False
IER5,False
GLUL,False
RNASEL,False
RGS16,False
NPL,False
DHX9,False
SMG7,False
NCF2,False
ARPC5,False
TSEN15,False
C1orf21,True
EDEM3,False
FAM129A,True
RNF2,False
TRMT1L,False
SWT1,False
IVNS1ABP,False
TPR,False
C1orf27,False
RGS18,True
RGS1,True
RGS2,True
UCHL5,False
TROVE2,False
GLRX2,False
CDC73,False
CFH,False
ZBTB41,False
DENND1B,False
NEK7,False
PTPRC,False
MIR181A1HG,True
