,highly_variable
MARS2,False
PLCL1,False
C2orf69,False
TYW5,False
C2orf47,False
SPATS2L,False
KCTD18,False
SGOL2,True
BZW1,False
CLK1,False
PPIL3,False
NIF3L1,False
ORC2,False
FAM126B,False
NDUFB3,False
CFLAR,False
CASP10,False
CASP8,False
TRAK2,False
STRADB,False
TMEM237,False
ALS2,False
SUMO1,False
NOP58,False
RP11-686O6.2,False
BMPR2,False
FAM117B,False
ICA1L,False
WDR12,False
CARF,False
NBEAL1,False
CYP20A1,False
ABI2,False
CD28,False
CTLA4,False
ICOS,False
INO80D,False
AC007383.3,False
NDUFS1,False
EEF1B2,False
FASTKD2,False
KLF7,False
CREB1,False
METTL21A,False
AC079767.4,True
IDH1,False
PIKFYVE,False
RPE,False
LANCL1,False
IKZF2,True
RP11-105N14.1,False
SPAG16,False
BARD1,True
ATIC,False
PECR,False
XRCC5,False
SMARCAL1,False
RPL37A,False
CXCR2,True
CXCR1,True
ARPC2,False
GPBAR1,False
AAMP,False
PNKD,False
TMBIM1,False
SLC11A1,False
CTDSP1,False
RP11-378A13.2,False
USP37,False
RQCD1,False
ZNF142,True
BCS1L,False
RNF25,False
TTLL4,False
WNT10A,True
CNPPD1,False
FAM134A,False
ZFAND2B,False
ATG9A,False
ANKZF1,False
STK16,False
TUBA4A,True
DNAJB2,False
DNPEP,False
GMPPA,False
CHPF,False
STK11IP,False
EPHA4,False
FARSB,False
ACSL3,False
WDFY1,False
MRPL44,False
SERPINE2,False
CUL3,False
DOCK10,False
RHBDD1,False
MFF,False
AGFG1,False
PID1,False
TRIP12,False
SP110,False
SP140,False
SP140L,False
SP100,False
CAB39,False
ITM2C,True
GPR55,False
PSMD1,False
NCL,False
NMUR1,True
PTMA,False
PDE6D,False
COPS7B,False
DIS3L2,False
TIGD1,False
EIF4E2,False
GIGYF2,False
INPP5D,False
ATG16L1,False
DGKD,False
USP40,False
ARL4C,False
COPS8,False
LRRFIP1,False
RAMP1,True
UBE2F,False
SCLY,False
ILKAP,False
AC016757.3,True
HES6,False
TRAF3IP1,False
ASB1,False
HDAC4,False
AC062017.1,False
NDUFA10,False
MYEOV2,False
ANKMY1,False
DUSP28,False
RNPEPL1,False
CAPN10-AS1,False
CAPN10,False
GPR35,False
MTERFD2,False
PASK,True
PPP1R7,False
HDLBP,False
SEPT2,False
FARP2,False
STK25,False
THAP4,False
ATG4B,False
DTYMK,False
ING5,False
D2HGDH,False
PDCD1,True
TRNT1,False
CRBN,False
SUMF1,False
SETMAR,False
ITPR1,False
AC018816.3,False
BHLHE40,False
ARL8B,False
EDEM1,False
RAD18,False
SETD5-AS1,True
THUMPD3,False
SETD5,False
MTMR14,False
BRPF1,False
OGG1,False
CAMK1,False
TADA3,False
ARPC4,False
TTLL3,False
RPUSD3,False
JAGN1,False
IL17RE,False
IL17RC,False
CRELD1,False
PRRT3,False
EMC3,False
FANCD2,False
BRK1,False
VHL,False
IRAK2,False
TATDN2,False
GHRL,False
SEC13,False
ATG7,False
VGLL4,False
TAMM41,False
TSEN2,False
MKRN2,False
RAF1,False
RPL32,True
IQSEC1,True
NUP210,False
HDAC11,False
FBLN2,False
WNT7A,False
CHCHD4,False
TMEM43,False
XPC,False
LSM3,False
SLC6A6,False
CCDC174,False
FGD5-AS1,False
NR2C2,False
MRPS25,False
ZFYVE20,False
CAPN7,False
SH3BP5-AS1,False
SH3BP5,False
METTL6,False
EAF1,True
COLQ,True
HACL1,False
BTD,False
ANKRD28,False
DPH3,False
OXNAD1,False
RFTN1,False
RP11-415F23.4,False
PLCL2,False
TBC1D5,False
SATB1,False
RAB5A,False
KAT2B,False
SGOL1,False
UBE2E2,False
UBE2E1,False
NKIRAS1,False
RPL15,False
NR1D2,False
TOP2B,False
NGLY1,False
OXSM,False
SLC4A7,False
RP11-222K16.2,True
EOMES,True
CMC1,False
AZI2,False
TGFBR2,False
STT3B,False
GPD1L,False
CMTM8,False
CMTM7,False
CMTM6,False
DYNC1LI1,False
CNOT10,False
CCR4,False
GLB1,False
CRTAP,False
UBP1,False
CLASP2,False
PDCD6IP,False
TRANK1,False
EPM2AIP1,False
MLH1,False
LRRFIP2,False
GOLGA4,False
VILL,True
PLCD1,False
ACAA1,False
MYD88,False
OXSR1,False
EXOG,False
WDR48,False
GORASP1,False
TTC21A,False
CSRNP1,False
CX3CR1,True
SLC25A38,False
RPSA,False
EIF1B,False
ENTPD3-AS1,False
RPL14,False
ZNF620,False
ZNF621,False
CTNNB1,False
ULK4,False
TRAK1,False
VIPR1,False
SEC22C,False
SS18L2,False
NKTR,False
HIGD1A,False
POMGNT2,False
SNRK,False
ANO10,False
ABHD5,False
TCAIM,False
ZNF445,False
ZNF852,False
ZNF197,False
ZNF501,False
KIAA1143,False
TMEM42,False
ZDHHC3,False
EXOSC7,False
LARS2,False
LIMD1,False
SACM1L,False
LZTFL1,False
FYCO1,False
CXCR6,False
CCR1,False
CCR2,False
CCR5,False
ALS2CL,False
TMIE,False
CCDC12,False
NBEAL2,False
SETD2,False
KIF9,False
KLHL18,False
RP11-708J19.1,False
PTPN23,False
SCAP,False
ELP6,False
SMARCC1,False
DHX30,False
MAP4,False
ZNF589,False
NME6,False
CCDC51,False
TMA7,False
ATRIP,False
TREX1,False
SHISA5,False
UQCRC1,False
SLC26A6,False
NCKIPSD,False
IP6K2,False
PRKAR2A,True
SLC25A20,False
ARIH2OS,False
ARIH2,False
P4HTM,False
WDR6,False
DALRD3,False
NDUFAF3,False
IMPDH2,False
QRICH1,False
QARS,False
USP19,False
CCDC71,False
KLHDC8B,False
C3orf62,True
USP4,False
GPX1,True
RHOA,False
TCTA,False
AMT,False
NICN1,False
DAG1,True
APEH,False
RNF123,False
GMPPB,False
IP6K1,False
FAM212A,True
UBA7,False
MON1A,False
RBM6,False
RBM5,False
GNAI2,False
IFRD2,False
HYAL3,False
NAT6,False
HYAL2,False
TUSC2,False
RASSF1,False
NPRL2,False
CYB561D2,False
TMEM115,False
CACNA2D2,False
XXcos-LUCA11.4,False
C3orf18,False
HEMK1,False
CISH,False
MAPKAPK3,False
MANF,False
RBM15B,False
VPRBP,False
RAD54L2,False
TEX264,False
RRP9,False
PARP3,False
PCBP4,False
ABHD14B,False
ABHD14A,False
RPL29,False
DUSP7,False
POC1A,False
ALAS1,False
TWF2,False
RP5-1157M23.2,False
PPM1M,False
WDR82,False
GLYCTK,False
DNAH1,False
BAP1,False
PHF7,False
NISCH,False
SMIM4,False
PBRM1,False
GNL3,False
GLT8D1,False
SPCS1,False
NEK4,False
TMEM110,False
SFMBT1,False
RFT1,False
PRKCD,False
TKT,False
DCP1A,False
ACTR8,False
SELK,False
CACNA2D3,False
CCDC66,False
FAM208A,False
ARHGEF3,False
APPL1,False
PDE12,False
ARF4,False
RP11-755B10.4,False
DENND6A,False
SLMAP,False
FLNB,False
DNASE1L3,True
ABHD6,False
RPP14,False
PXK,False
PDHB,False
KCTD6,False
FHIT,False
C3orf14,False
THOC7,False
ATXN7,False
PSMD6,False
SLC25A26,False
LRIG1,False
SUCLG2,False
FAM19A1,False
TMF1,False
UBA3,False
ARL6IP5,False
FRMD4B,False
FOXP1,False
EIF4E3,False
PROK2,True
LINC00877,False
RYBP,False
SHQ1,False
PPP4R2,False
EBLN2,False
ZNF717,False
GBE1,False
CHMP2B,False
CGGBP1,False
RP11-159G9.5,False
ZNF654,False
C3orf38,False
ARL13B,False
DHFRL1,False
NSUN3,False
MINA,False
CLDND1,False
CPOX,False
DCBLD2,True
CMSS1,False
TBC1D23,False
NIT2,False
TOMM70A,False
TFG,False
SENP7,False
TRMT10C,False
PCNP,False
ZBTB11,False
ZBTB11-AS1,False
RPL24,False
CEP97,False
NXPE3,False
NFKBIZ,False
ALCAM,False
CBLB,False
BBX,False
CD47,False
RP11-861A13.4,False
IFT57,False
DZIP3,False
TRAT1,False
CD96,False
PHLDB2,True
ABHD10,False
GCSAM,False
CD200,True
BTLA,False
ATG3,False
SLC35A5,False
CD200R1,False
RP11-484K9.4,False
GTPBP8,False
C3orf17,False
SPICE1,False
SIDT1,False
SIDT1-AS1,False
KIAA2018,False
NAA50,False
ATP6V1A,False
KIAA1407,False
QTRTD1,True
RP11-553L6.2,False
TIGIT,True
RP11-553L6.5,False
ZBTB20,True
B4GALT4,False
ARHGAP31,False
TMEM39A,False
POGLUT1,True
TIMMDC1,False
POPDC2,False
COX17,False
GSK3B,False
LRRC58,False
NDUFB4,False
RABL3,False
GTF2E1,False
HCLS1,False
GOLGB1,False
IQCB1,False
EAF2,True
CD86,False
CSTA,False
CCDC58,False
FAM162A,False
WDR5B,False
RP11-299J3.8,False
KPNA1,False
PARP9,False
DTX3L,False
PARP15,False
PARP14,False
HSPBAP1,False
DIRC2,False
PDIA5,False
SEC22A,False
PTPLB,True
MYLK-AS1,False
CCDC14,False
KALRN,False
UMPS,False
HEG1,False
ZNF148,False
SNX4,False
OSBPL11,False
SLC41A3,False
ZXDC,False
CHCHD6,False
TPRA1,False
MCM2,False
PODXL2,False
ABTB1,False
MGLL,True
SEC61A1,False
RUVBL1,False
EEFSEC,False
RPN1,False
RAB7A,False
ACAD9,False
ISY1,False
CNBP,False
COPG1,False
HMCES,False
H1FX,False
MBD4,False
IFT122,False
PLXND1,False
TMCC1,False
PIK3R4,False
ATP2C1,False
ASTE1,False
NUDT16,False
MRPL3,False
DNAJC13,False
NPHP3,False
UBA5,False
BFSP2,True
CDV3,False
TOPBP1,False
SRPRB,False
RYK,True
ANAPC13,False
CEP63,False
MSL2,False
PCCB,False
STAG1,False
RP11-85F14.5,True
NCK1,False
DBR1,False
ARMC8,False
CEP70,False
FAIM,False
PIK3CB,False
MRPS22,False
COPB2,False
NMNAT3,False
SLC25A36,True
ACPL2,False
ZBTB38,False
RASA2,False
RNF7,False
ATP1B3,False
TFDP2,True
RP11-485G4.2,True
GK5,False
XRN1,False
ATR,False
U2SURP,False
RP11-91G21.1,False
CHST2,True
SLC9A9,False
C3orf58,False
PLSCR1,False
GYG1,False
HLTF,False
HPS3,False
COMMD2,False
RNF13,False
PFN2,False
TSC22D2,False
SERP1,False
EIF2A,False
SELT,False
RP11-103G8.2,False
SIAH2,False
GPR171,True
P2RY13,False
MBNL1,False
MBNL1-AS1,False
RAP2B,False
DHX36,False
C3orf33,False
SLC33A1,False
GMPS,False
SSR3,False
TIPARP-AS1,False
TIPARP,False
CCNL1,False
RSRC1,True
MLF1,False
GFM1,False
LXN,False
MFSD1,False
IFT80,False
SMC4,False
TRIM59,False
KPNA4,False
PPM1L,True
NMD3,False
SPTSSB,True
PDCD10,False
SERPINI1,False
GOLIM4,False
MYNN,False
SEC62,False
GPR160,False
PHC3,False
PRKCI,True
SKIL,False
RPL22L1,False
EIF5A2,False
TNIK,False
FNDC3B,False
TNFSF10,False
TBL1XR1,False
ZMAT3,False
PIK3CA,False
ZNF639,False
MFN1,False
GNB4,False
ACTL6A,False
MRPL47,False
NDUFB5,False
USP13,True
TTC14,False
FXR1,False
DNAJC19,False
ATP11B,False
DCUN1D1,False
MCCC1,False
KLHL6,False
KLHL24,False
YEATS2,False
PARL,False
ABCC5,False
EIF2B5,False
DVL3,False
AP2M1,False
ABCF3,False
ALG3,False
ECE2,False
PSMD2,False
EIF4G1,False
FAM131A,False
POLR2H,False
MAGEF1,False
VPS8,False
MAP3K13,False
TMEM41A,False
SENP2,False
TRA2B,False
TBCCD1,False
DNAJB11,False
RP11-573D15.9,False
EIF4A2,False
RFC4,False
ST6GAL1,False
RPL39L,False
RTP4,False
BCL6,False
LPP,True
TPRG1,False
IL1RAP,False
CCDC50,True
OPA1,False
HES1,True
ATP13A3,False
TMEM44-AS1,False
LSG1,False
FAM43A,True
XXYLT1,False
ACAP2,False
PPP1R2,False
LINC00969,False
TNK2,False
TFRC,False
PCYT1A,False
TCTEX1D2,False
UBXN7,False
UBXN7-AS1,False
RNF168,False
WDR53,True
NRROS,False
PIGX,False
CEP19,False
PAK2,False
SENP5,False
NCBP2,False
NCBP2-AS2,False
PIGZ,False
DLG1,False
BDH1,False
KIAA0226,False
FYTTD1,False
LRCH3,False
IQCG,False
RPL35A,False
ZNF595,True
ZNF718,False
ZNF141,False
ZNF721,False
PIGG,False
PDE6B,False
RP11-1191J2.5,False
ATP5I,False
MYL5,False
MFSD7,False
PCGF3,False
RP11-440L14.1,False
GAK,False
TMEM175,False
DGKQ,False
IDUA,False
SPON2,True
CTBP1,False
CTBP1-AS2,False
MAEA,False
UVSSA,False
RP11-1398P2.1,False
SLBP,False
RP11-572O17.1,True
TMEM129,False
TACC3,False
LETM1,False
WHSC1,False
NELFA,False
C4orf48,False
HAUS3,False
MXD4,False
ZFYVE28,False
RNF4,False
FAM193A,False
TNIP2,False
SH3BP2,False
ADD1,False
MFSD10,False
NOP14-AS1,False
NOP14,False
GRK4,True
HTT,False
RGS12,False
LRPAP1,False
TMEM128,False
LYAR,True
ZBTB49,False
NSG1,False
STX18,False
JAKMIP1,True
MAN2B2,False
MRFAP1,False
RP11-539L10.3,False
AC093323.3,False
RP11-539L10.2,True
MRFAP1L1,False
BLOC1S4,False
KIAA0232,True
TBC1D14,False
TADA2B,False
GRPEL1,False
RP11-367J11.3,False
AFAP1,False
SH3TC1,False
ACOX3,False
TRMT44,False
WDR1,False
ZNF518B,False
HS3ST1,True
RAB28,False
BOD1L1,True
CPEB2,False
FBXL5,False
FAM200B,False
BST1,False
CD38,False
FGFBP2,True
TAPT1,False
TAPT1-AS1,False
QDPR,False
LAP3,False
MED28,False
DCAF16,False
LCORL,False
PACRGL,False
DHX15,False
SEPSECS,False
PI4K2B,False
ZCCHC4,False
ANAPC4,False
SEL1L3,True
SMIM20,False
RBPJ,False
TBC1D19,False
STIM2,False
RP11-293A21.1,False
ARAP2,False
DTHD1,True
RELL1,False
PGM2,False
TBC1D1,False
RP11-617D20.1,False
AC021860.1,False
KLF3,False
TLR10,False
TLR1,False
TMEM156,False
KLHL5,False
RFC1,True
RPL9,False
LIAS,False
UGDH,False
SMIM14,True
UBE2K,False
PDS5A,False
N4BP2,False
RHOH,False
TMEM33,False
SLC30A9,False
ATP8A1,False
GUF1,False
GNPDA2,False
COMMD8,False
ATP10D,False
NFXL1,False
TXK,False
SLAIN2,False
FRYL,False
OCIAD1,False
OCIAD2,False
DCUN1D4,True
SGCB,False
USP46,False
SCFD2,True
FIP1L1,False
CHIC2,False
SRD5A3,False
TMEM165,False
CLOCK,False
EXOC1,False
CEP135,False
AASDH,False
PPAT,False
PAICS,False
SRP72,False
HOPX,True
SPINK2,False
REST,False
NOA1,False
POLR2B,False
IGFBP7,True
CENPC,False
STAP1,False
UBA6,False
UBA6-AS1,True
YTHDC1,False
IGJ,True
UTP3,False
RUFY3,False
GRSF1,False
DCK,False
COX18,False
ANKRD17,False
IL8,True
PF4,True
PPBP,True
MTHFD2L,False
AREG,False
RP11-44F21.5,False
RCHY1,False
THAP6,False
G3BP2,False
USO1,False
NAAA,False
SDAD1,False
NUP54,False
SCARB2,False
SEPT11,False
CCNI,False
CCNG2,False
CNOT6L,True
MRPL1,False
RP11-109G23.3,True
ANTXR2,False
PRDM8,False
RASGEF1B,False
HNRNPD,False
RP11-127B20.3,False
HNRNPDL,False
ENOPH1,False
SCD5,True
SEC31A,False
THAP9-AS1,False
LIN54,False
COPS4,False
PLAC8,True
COQ2,False
HPSE,False
HELQ,False
MRPS18C,False
FAM175A,False
AGPAT9,False
ARHGAP24,True
C4orf36,False
AFF1,False
KLHL8,False
HSD17B11,False
NUDT9,True
PPM1K,False
HERC6,False
HERC5,False
PYURF,False
HERC3,False
NAP1L5,True
FAM13A-AS1,False
FAM13A,False
GPRIN3,False
SNCA,True
SMARCAD1,False
PDLIM5,False
RAP1GDS1,False
TSPAN5,False
EIF4E,False
METAP1,False
ADH5,False
TRMT10A,False
DAPP1,False
LAMTOR3,False
DNAJB14,False
H2AFZ,False
PPP3CA,False
AP001816.1,True
BANK1,True
SLC39A8,True
AF213884.2,False
NFKB1,False
MANBA,False
UBE2D3,False
CISD2,False
SLC9B1,False
SLC9B2,False
BDH2,False
TET2,False
PPA2,False
INTS12,False
TBCK,True
AIMP1,False
PAPSS1,False
CYP2U1,False
HADH,False
LEF1,False
RPL34,True
OSTC,False
SEC24B-AS1,False
SEC24B,False
CCDC109B,False
CASP6,False
PLA2G12A,False
GAR1,False
ELOVL6,False
C4orf32,False
AP1AR,False
TIFA,False
ALPK1,False
LARP7,False
CAMK2D,False
SNHG8,False
METTL14,False
SEC24D,False
USP53,False
C4orf3,False
MAD2L1,False
TNIP3,True
ANXA5,False
EXOSC9,False
BBS7,False
KIAA1109,False
NUDT6,False
SPATA5,False
SPRY1,False
MFSD8,False
C4orf29,False
LARP1B,False
PGRMC2,False
JADE1,False
SCLT1,True
C4orf33,False
ELF2,False
NDUFC1,False
NAA15,False
RP11-83A24.2,False
RAB33B,False
SETD7,False
MGST2,False
MAML3,False
SCOC,False
RP11-425I13.3,False
ELMOD2,False
TBC1D9,False
RP11-102N12.3,False
ZNF330,False
RP11-362F19.1,False
IL15,False
INPP4B,False
RP11-223C24.1,False
USP38,False
SMARCA5,False
ANAPC10,False
ABCE1,False
OTUD4,False
MMAA,False
ZNF827,False
LSM6,False
SLC10A7,False
TMEM184C,False
PRMT10,False
ARHGAP10,True
NR3C2,False
LRBA,False
RPS3A,False
SH3D19,False
RP11-372K14.2,False
PET112,False
RP11-18H21.1,False
FBXW7,False
MIR4453,False
TMEM154,False
ARFIP1,False
KIAA0922,False
TLR2,False
PLRG1,False
MAP9,False
CTSO,True
C4orf46,False
ETFDH,False
PPID,False
FNIP2,False
NAF1,False
TMA16,False
MARCH1,False
TMEM192,False
KLHL2,False
MSMO1,False
DDX60,False
DDX60L,False
CBR4,False
NEK1,False
CLCN3,False
C4orf27,False
GALNT7,False
HMGB2,False
RP11-798M19.6,False
SAP30,False
FBXO8,False
CEP44,True
HPGD,False
SPCS3,False
AGA,False
DCTD,False
WWC2,False
CDKN2AIP,False
ING2,False
RWDD4,False
TRAPPC11,True
IRF2,False
RP11-326I11.3,True
CASP3,False
PRIMPOL,False
CENPU,False
ACSL1,False
SLC25A4,True
KIAA1430,False
LRP2BP,False
ANKRD37,False
UFSP2,False
CYP4V2,False
FRG1,False
CCDC127,False
SDHA,False
PDCD6,False
C5orf55,False
EXOC3,False
CTD-2228K2.5,False
CEP72,False
BRD9,False
SLC12A7,False
CLPTM1L,False
LPCAT1,True
MRPL36,False
NDUFS6,False
KIAA0947,False
MED10,False
NSUN2,False
SRD5A1,False
PAPD7,False
MTRR,False
FASTKD3,False
MIR4458HG,False
FAM173B,False
CCT5,False
CTD-2256P15.2,False
MARCH6,False
ROPN1L,False
DAP,False
TRIO,False
FAM105A,False
FAM105B,False
ANKH,False
ZNF622,False
FAM134B,False
BASP1,False
DROSHA,False
C5orf22,False
GOLPH3,False
CTD-2186M15.3,False
MTMR12,False
ZFR,False
SUB1,False
TARS,False
CTD-2517O10.6,False
RAD1,True
BRIX1,False
DNAJC21,False
SPEF2,False
IL7R,False
LMBRD2,False
SKP2,False
NADK2,False
NIPBL,True
C5orf42,False
NUP155,False
WDR70,False
RICTOR,False
FYB,False
DAB2,True
PTGER4,False
TTC33,False
PRKAA1,False
RPL37,False
OXCT1,False
C5orf51,False
FBXO4,False
CCDC152,False
CTD-2035E11.3,False
CTD-2035E11.4,False
ANXA2R,False
AC025171.1,False
ZNF131,False
HMGCS1,False
CCL28,False
C5orf28,False
PAIP1,False
NNT-AS1,False
NNT,False
MRPS30,False
EMB,False
PARP8,False
PELO,False
MOCS2,False
CTD-2366F13.1,False
NDUFS4,False
ARL15,False
SNX18,False
GZMK,True
GZMA,True
DHX29,False
SKIV2L2,True
PPAP2A,False
SLC38A9,False
IL6ST,False
ANKRD55,False
MAP3K1,False
SETD9,False
GPBP1,False
PLK2,False
GAPT,True
PDE4D,False
ERCC8,False
NDUFAF2,False
SMIM15,False
KIF2A,False
DIMT1,False
IPO11,True
SREK1IP1,False
CWC27,False
ADAMTS6,False
CENPK,False
PPWD1,False
TRIM23,False
TRAPPC13,False
CTC-534A2.2,False
SGTB,False
ERBB2IP,False
SREK1,False
MAST4,False
CD180,False
PIK3R1,False
SLC30A5,False
CCNB1,False
CENPH,False
MRPS36,False
CDK7,False
CCDC125,False
TAF9,False
RAD17,False
GTF2H2C,False
SMN2,False
SMN1,False
GTF2H2,False
BDP1,False
MCCC2,False
MRPS27,False
PTCD2,False
TNPO1,False
RP11-79P5.9,False
BTF3,False
ANKRA2,False
UTP15,False
ENC1,True
HEXB,False
GFM2,False
NSA2,False
FAM169A,False
GCNT4,False
HMGCR,False
COL4A3BP,False
POLK,False
POC5,False
IQGAP2,True
F2R,True
S100Z,False
AGGF1,False
WDR41,False
TBCA,False
AP3B1,False
CTD-2037K23.2,False
SCAMP1,False
ARSB,False
JMY,False
HOMER1,False
PAPD4,False
SERINC5,False
ZFYVE16,False
DHFR,False
MSH3,False
RASGRF2,False
CKMT2-AS1,True
ZCCHC9,False
SSBP2,False
ATG10,False
RPS23,False
TMEM167A,False
XRCC4,False
VCAN,True
COX7C,False
RASA1,False
CCNH,False
TMEM161B,False
TMEM161B-AS1,False
MEF2C,True
CETN3,False
MBLAC2,False
LYSMD3,False
ARRDC3,False
FAM172A,False
ANKRD32,False
TTC37,False
ARSK,False
GPR150,False
RFESD,True
RHOBTB3,True
GLRX,False
ELL2,False
CAST,False
ERAP1,False
CTD-2260A17.2,False
ERAP2,False
LNPEP,False
RIOK2,False
RGMB,False
CHD1,False
FAM174A,False
ST8SIA4,False
PAM,False
GIN1,False
PPIP5K2,False
C5orf30,False
FBXL17,False
PJA2,False
MAN2A1,False
SLC25A46,False
WDR36,False
CAMK4,False
STARD4,True
EPB41L4A-AS1,False
APC,True
SRP19,False
REEP5,False
DCP2,False
YTHDC2,False
PGGT1B,False
CCDC112,True
FEM1C,False
AC010226.4,False
TMED7,False
ATG12,False
AP3S1,False
CTD-2287O16.5,False
COMMD10,False
DTWD2,False
DMXL1,False
TNFAIP8,False
HSD17B4,False
SRFBP1,False
SNX2,False
CEP120,False
CSNK1G3,False
GRAMD3,True
ALDH7A1,False
PHAX,False
LMNB1,False
MARCH3,True
C5orf63,False
PRRC1,False
CTC-228N24.3,False
SLC12A2,True
ISOC1,False
HINT1,False
LYRM7,False
CDC42SE2,False
RAPGEF6,False
FNIP1,False
ACSL6,False
C5orf56,False
IRF1,False
RAD50,False
KIF3A,False
CCNI2,False
SEPT8,False
UQCRQ,False
AFF4,False
ZCCHC10,False
HSPA4,False
C5orf15,False
VDAC1,False
CTB-113I20.2,False
TCF7,False
SKP1,False
PPP2CA,False
CDKL3,False
CTD-2410N18.3,False
UBE2B,False
CDKN2AIPNL,False
JADE2,False
SAR1B,False
SEC24A,False
CAMLG,False
DDX46,False
C5orf24,False
TXNDC15,False
PCBD2,False
H2AFY,False
TGFBI,False
SMAD5,False
KLHL3,False
HNRNPA0,False
FAM13B,False
BRD8,False
CDC23,False
FAM53C,False
KDM3B,False
EGR1,False
ETF1,False
HSPA9,False
CTNNA1,False
SIL1,False
MATR3,False
PAIP2,False
MZB1,True
SPATA24,False
DNAJC18,False
TMEM173,False
UBE2D2,False
CXXC5,True
NRG2,False
LINC01024,False
PURA,False
CYSTM1,False
PFDN1,False
ANKHD1,False
SRA1,False
APBB3,False
SLC35A4,False
CD14,True
NDUFA2,False
TMCO6,False
IK,False
WDR55,False
HARS,False
HARS2,False
ZMAT2,False
TAF7,False
DIAPH1,False
HDAC3,False
RELL2,False
FCHSD1,False
KIAA0141,False
RNF14,False
GNPDA1,False
NDFIP1,False
ARHGAP26,False
NR3C1,False
YIPF5,False
LARS,False
RBM27,False
TCERG1,False
PPP2R2B,True
JAKMIP2,True
FBXO38,False
ADRB2,True
GRPEL2,False
PCYOX1L,False
CSNK1A1,False
ARHGEF37,False
SLC26A2,False
TIGD6,True
HMGXB3,False
CSF1R,False
TCOF1,False
CD74,True
RPS14,False
RBM22,False
DCTN4,False
TNIP1,False
ANXA6,False
CCDC69,False
GM2A,False
SPARC,True
ATOX1,False
G3BP1,False
FAM114A2,False
GALNT10,False
SAP30L,False
LARP1,False
CNOT8,False
GEMIN5,False
MRPL22,False
HAVCR2,True
MED7,False
ITK,False
CYFIP2,False
ADAM19,False
THG1L,False
CLINT1,False
RNF145,False
UBLCP1,False
TTC1,False
PWWP2A,False
SLU7,False
PTTG1,True
CCNG1,False
NUDCD2,False
MAT2B,False
RARS,False
PANK3,True
SPDL1,False
DOCK2,False
LCP2,False
KCNMB1,False
NPM1,False
FBXW11,True
STK10,False
DUSP1,False
ERGIC1,False
RPL26L1,False
ATP6V0E1,False
CREBRF,False
BNIP1,False
BOD1,False
CPEB4,False
SFXN1,False
HRH2,False
THOC3,False
FAM153B,False
SIMC1,False
KIAA1191,False
NOP16,False
HIGD2A,False
CLTB,False
FAF2,True
RNF44,False
TSPAN17,False
HK3,False
UIMC1,False
ZNF346,False
NSD1,False
RAB24,False
MXD3,False
PRELID1,False
LMAN2,False
RGS14,False
F12,False
GRK6,False
PRR7,False
DBN1,False
PDLIM7,False
DOK3,False
DDX41,False
FAM193B,False
TMED9,False
B4GALT7,False
FAM153A,False
N4BP3,False
RMND5B,False
NHP2,False
HNRNPAB,False
PHYKPL,False
CLK4,False
ZNF354A,False
ZNF354B,False
ZNF879,False
RUFY1,True
HNRNPH1,False
CANX,False
MAML1,False
LTC4S,False
MGAT4B,False
SQSTM1,False
C5orf45,False
CTC-241N9.1,False
TBC1D9B,False
RNF130,False
MAPK9,False
CTB-129O4.1,False
CNOT6,False
SCGB3A1,False
MGAT1,False
LINC00847,False
ZFP62,False
CTC-338M12.5,False
TRIM41,False
GNB2L1,False
CTC-338M12.4,False
TRIM52,False
TRIM52-AS1,False
DUSP22,False
IRF4,False
EXOC2,False
HUS1B,False
RP11-532F6.3,False
RP11-157J24.2,False
GMDS,False
GMDS-AS1,False
WRNIP1,False
SERPINB1,False
RP11-420G6.4,False
SERPINB9,False
SERPINB6,False
LINC01011,False
NQO2,False
RIPK1,False
RP1-40E16.12,False
BPHL,False
TUBB2A,False
PSMG4,False
FAM50B,False
PRPF4B,False
ECI2,False
CDYL,True
RPP40,False
LYRM4,False
FARS2,False
F13A1,True
LY86,True
RREB1,False
SSR1,False
RIOK1,False
SNRNP48,False
BLOC1S5,False
EEF1E1,False
SLC35B3,False
GCNT2,False
PAK1IP1,False
TMEM14C,False
TMEM14B,False
SMIM13,False
NEDD9,False
ADTRP,True
HIVEP1,False
PHACTR1,False
TBC1D7,False
GFOD1,True
SIRT5,False
RP1-223E5.4,False
NOL7,False
RANBP9,False
MCUR1,False
CD83,False
JARID2,False
DTNBP1,False
MYLIP,False
GMPR,True
ATXN1,False
FAM8A1,False
NUP153,False
RP11-500C11.3,False
TPMT,False
KDM1B,False
DEK,False
MBOAT1,False
E2F3,False
CDKAL1,False
SOX4,False
MRS2,False
ALDH5A1,False
TDP2,False
ACOT13,True
C6orf62,False
GMNN,False
FAM65B,False
RP11-367G6.3,True
LRRC16A,False
TRIM38,False
HIST1H1A,True
HIST1H3A,False
HIST1H4A,False
HIST1H4B,False
HIST1H2AB,False
HIST1H2BB,False
HIST1H1C,False
HIST1H4C,False
HIST1H2BC,False
HIST1H2AC,True
HIST1H1E,False
HIST1H2BD,False
HIST1H3D,False
HIST1H2BF,True
HIST1H4E,False
HIST1H2BG,False
HIST1H2AE,False
HIST1H1D,False
HIST1H4F,False
HIST1H2BH,False
HIST1H2BI,False
BTN3A2,False
BTN2A2,False
BTN3A1,False
BTN3A3,False
BTN2A1,False
HCG11,False
HMGN4,False
ABT1,False
ZNF322,False
HIST1H2BJ,True
HIST1H2AG,False
HIST1H2BK,False
